udprn,versiondate,versionavailablefromdate,versionavailabletodate,changetype,theme,description,organisationname,departmentname,subbuildingname,buildingname,buildingnumber,dependentthoroughfare,thoroughfare,doubledependentlocality,dependentlocality,posttown,postcode,postcodetype,deliverypointsuffix,welshdependentthoroughfare,welshthoroughfare,welshdoubledependentlocality,welshdependentlocality,welshposttown,poboxnumber,updatedate,entrydate,easting,northing,latitude,longitude,positionalaccuracy,geometryallocationmethod,unmatchedreason,unmatchedreasondate,uprn,matchedaddressfeaturetype,matchtype,matchdate,matchmethod,matchingorganisation
3160039,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,30,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2E,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142922.55,525315.12,54.5575681,-5.9776317,Central Internal Position,Matched UPRN,NULL,NULL,185085411,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160040,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,31,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2F,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142934.65,525339.18,54.5577899,-5.9774661,Central Internal Position,Matched UPRN,NULL,NULL,185878194,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160041,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,32,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2G,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142911.84,525319.04,54.5575979,-5.9778003,Central Internal Position,Matched UPRN,NULL,NULL,185085413,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160042,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,33,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2H,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142897.89,525355.37,54.5579165,-5.9780473,Central Internal Position,Matched UPRN,NULL,NULL,185085414,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160043,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,34,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2J,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142906.12,525322.54,54.5576263,-5.9778916,Central Internal Position,Matched UPRN,NULL,NULL,185085415,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160044,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,35,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2L,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142892.08,525357.88,54.5579360,-5.9781391,Central Internal Position,Matched UPRN,NULL,NULL,185085416,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160045,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,36,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2N,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142900.23,525324.05,54.5576369,-5.9779839,Central Internal Position,Matched UPRN,NULL,NULL,185878169,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160046,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,37,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2P,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142885.36,525361.46,54.5579647,-5.9782459,Central Internal Position,Matched UPRN,NULL,NULL,185085418,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160047,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,38,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2Q,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142889.78,525330.97,54.5576936,-5.9781511,Central Internal Position,Matched UPRN,NULL,NULL,185085419,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160048,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,39,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2R,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142878.47,525363.06,54.5579755,-5.9783536,Central Internal Position,Matched UPRN,NULL,NULL,185085420,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160049,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,4,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2S,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,143004.25,525260.94,54.5571239,-5.9763242,Central Internal Position,Matched UPRN,NULL,NULL,185085421,Built Address,Direct,2016-03-16,Automated,GeoPlace
