uprn,versiondate,versionavailablefromdate,versionavailabletodate,changetype,theme,description,organisationname,poboxnumber,subname,name,number,streetname,locality,townname,islandname,postcode,fulladdress,country,alternatelanguagesubname,alternatelanguagename,alternatelanguagenumber,alternatelanguagestreetname,alternatelanguagelocality,alternatelanguagetownname,alternatelanguageislandname,alternatelanguage,alternatelanguagefulladdress,floorlevel,lowestfloorlevel,highestfloorlevel,classificationcode,classificationdescription,primaryclassificationdescription,secondaryclassificationdescription,tertiaryclassificationdescription,quaternaryclassificationdescription,buildstatus,buildstatusdate,addressstatus,postcodesource,parentuprn,rootuprn,hierarchylevel,usrn,usrnmatchindicator,localcustodiancode,localcustodiandescription,lowertierlocalauthoritygsscode,easting,northing,latitude,longitude,positionalaccuracy,effectivestartdate,effectiveenddate
200000530440,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,45,PRIORY ROAD,NULL,DARTFORD,NULL,DA1 2BS,"45, PRIORY ROAD, DARTFORD, DA1 2BS",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD04,Terraced,Residential,Dwelling,Terraced,NULL,Built Complete,2009-02-27,Approved,A record which is linked to a Royal Mail address,NULL,200000530440,1,10500558,Manually Matched,2215,DARTFORD,E07000107,553841.00,174783.00,51.4511374,0.2126500,General Internal Position,2001-09-13,NULL
100041204807,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,34,SUMMERHEATH,NULL,MABE BURNTHOUSE,NULL,TR10 9JT,"34, SUMMERHEATH, MABE BURNTHOUSE, TR10 9JT",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,NULL,Built Complete,2018-05-01,Approved,A record which is linked to a Royal Mail address,NULL,100041204807,1,18600292,Manually Matched,840,CORNWALL,E06000052,176742.42,34302.55,50.1666044,-5.1276008,General Internal Position,2001-04-04,NULL
100060864604,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,72,HOWARD ROAD,NULL,DARTFORD,NULL,DA1 1XH,"72, HOWARD ROAD, DARTFORD, DA1 1XH",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,NULL,Built Complete,2009-02-27,Approved,A record which is linked to a Royal Mail address,NULL,100060864604,1,10500332,Manually Matched,2215,DARTFORD,E07000107,555347.00,174003.00,51.4437177,0.2339647,Central Internal Position,2001-09-13,NULL
100060873942,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,113,ST ALBANS ROAD,NULL,DARTFORD,NULL,DA1 1TZ,"113, ST ALBANS ROAD, DARTFORD, DA1 1TZ",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD04,Terraced,Residential,Dwelling,Terraced,NULL,Built Complete,2009-02-27,Approved,A record which is linked to a Royal Mail address,NULL,100060873942,1,10500640,Manually Matched,2215,DARTFORD,E07000107,554941.00,174245.00,51.4460033,0.2282331,General Internal Position,2001-09-13,NULL
100040069536,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,54,SUMMERHEATH,NULL,MABE BURNTHOUSE,NULL,TR10 9JT,"54, SUMMERHEATH, MABE BURNTHOUSE, TR10 9JT",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD02,Detached,Residential,Dwelling,Detached,NULL,Built Complete,2018-05-01,Approved,A record which is linked to a Royal Mail address,NULL,100040069536,1,18600292,Manually Matched,840,CORNWALL,E06000052,176670.95,34224.04,50.1658725,-5.1285540,Central Internal Position,2001-04-04,NULL
100040069511,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,28,SUMMERHEATH,NULL,MABE BURNTHOUSE,NULL,TR10 9JT,"28, SUMMERHEATH, MABE BURNTHOUSE, TR10 9JT",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,NULL,Built Complete,2018-05-01,Approved,A record which is linked to a Royal Mail address,NULL,100040069511,1,18600292,Manually Matched,840,CORNWALL,E06000052,176760.61,34349.02,50.1670286,-5.1273738,General Internal Position,2001-04-04,NULL
100040069541,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,59,SUMMERHEATH,NULL,MABE BURNTHOUSE,NULL,TR10 9JT,"59, SUMMERHEATH, MABE BURNTHOUSE, TR10 9JT",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,NULL,Built Complete,2018-05-01,Approved,A record which is linked to a Royal Mail address,NULL,100040069541,1,18600292,Manually Matched,840,CORNWALL,E06000052,176694.10,34271.00,50.1663029,-5.1282579,General Internal Position,2001-04-04,NULL
10008220914,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,THE ORCHARD,NULL,HIGHGATE HILL,NULL,INDIAN QUEENS,NULL,TR9 6LY,"THE ORCHARD, HIGHGATE HILL, INDIAN QUEENS, TR9 6LY",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD02,Detached,Residential,Dwelling,Detached,NULL,Built Complete,2007-09-17,Approved,A record which is linked to a Royal Mail address,NULL,10008220914,1,31401326,Manually Matched,840,CORNWALL,E06000052,191979.00,58918.00,50.3932401,-4.9280917,Central Internal Position,2005-07-22,NULL
100060874204,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,51,ST MARTINS ROAD,NULL,DARTFORD,NULL,DA1 1UJ,"51, ST MARTINS ROAD, DARTFORD, DA1 1UJ",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD04,Terraced,Residential,Dwelling,Terraced,NULL,Built Complete,2009-02-27,Approved,A record which is linked to a Royal Mail address,NULL,100060874204,1,10500646,Manually Matched,2215,DARTFORD,E07000107,554790.00,174237.00,51.4459727,0.2260584,Central Internal Position,2001-09-13,NULL
10096902826,2025-09-23,2025-09-24T00:00:00.000Z,NULL,Moved From A Different Feature Type,Address,Built Address,NULL,NULL,FLAT 3,THE OLD MARKET HOUSE,25,HIGHER MARKET STREET,NULL,PENRYN,NULL,TR10 8EF,"FLAT 3, THE OLD MARKET HOUSE, 25, HIGHER MARKET STREET, PENRYN, TR10 8EF",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD06,Self Contained Flat (Includes Maisonette / Apartment),Residential,Dwelling,Self Contained Flat (Includes Maisonette / Apartment),NULL,Built Complete,2024-10-24,Approved,A record which is linked to a Royal Mail address,100041022459,100041022459,2,6101156,Manually Matched,840,CORNWALL,E06000052,178502.74,34379.36,50.1679548,-5.1030345,Central Internal Position,2024-01-11,NULL
